Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_Home  Indian Council of Agricultural R_06e979/button_Ministry of Agriculture and Farmers _55e648""))",Chrome 125.0.0.0,,,13-06-2024 14:39:42,13-06-2024 14:39:42,0.328s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_Home  Indian Council of Agricultural R_06e979/a_About Us""))",Chrome 125.0.0.0,,,13-06-2024 14:39:42,13-06-2024 14:39:42,0.395s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_About Us  ICAR/a_Vision Documents""))",Chrome 125.0.0.0,,,13-06-2024 14:39:42,13-06-2024 14:39:43,1.257s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:39:43,13-06-2024 14:39:45,1.815s,PASSED
,,,,,,,
Test Cases/CAR DIVISIONS,Chrome 125.0.0.0,,,13-06-2024 14:40:23,13-06-2024 14:40:36,13.124s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:40:23,13-06-2024 14:40:25,2.228s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:40:25,13-06-2024 14:40:36,10.707s,PASSED
"click(findTestObject(""null""))",Chrome 125.0.0.0,,,13-06-2024 14:40:36,13-06-2024 14:40:36,0.166s,FAILED
,,,,,,,
Test Cases/CAR DOCUMENT AND REPORTS,Chrome 125.0.0.0,,,13-06-2024 14:40:36,13-06-2024 14:40:53,17.209s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:40:36,13-06-2024 14:40:39,2.755s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:40:39,13-06-2024 14:40:48,9.278s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:40:48,13-06-2024 14:40:49,0.340s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Home  Indian Council of Agricultural R_06e979/a_Documents  Reports""))",Chrome 125.0.0.0,,,13-06-2024 14:40:49,13-06-2024 14:40:51,2.208s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Annual Reports  ICAR/a_Publication Catalogue""))",Chrome 125.0.0.0,,,13-06-2024 14:40:51,13-06-2024 14:40:52,0.668s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Publication Catalogue  ICAR/a_Annual Reports""))",Chrome 125.0.0.0,,,13-06-2024 14:40:52,13-06-2024 14:40:52,0.710s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:40:52,13-06-2024 14:40:53,1.225s,PASSED
,,,,,,,
Test Cases/CAR NOTOFICATIONS,Chrome 125.0.0.0,,,13-06-2024 14:40:53,13-06-2024 14:41:09,15.959s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:40:54,13-06-2024 14:40:54,0.952s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:40:54,13-06-2024 14:41:04,10.029s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:41:04,13-06-2024 14:41:05,0.348s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Home  Indian Council of Agricultural R_06e979/a_Notification""))",Chrome 125.0.0.0,,,13-06-2024 14:41:05,13-06-2024 14:41:05,0.400s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Latest Updates  ICAR/a_Circulars""))",Chrome 125.0.0.0,,,13-06-2024 14:41:05,13-06-2024 14:41:06,1.206s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Circulars Data  ICAR/a_Tenders""))",Chrome 125.0.0.0,,,13-06-2024 14:41:06,13-06-2024 14:41:07,0.994s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:41:07,13-06-2024 14:41:09,2.010s,PASSED
,,,,,,,
Test Cases/CAR RTI,Chrome 125.0.0.0,,,13-06-2024 14:41:09,13-06-2024 14:41:33,23.419s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:41:09,13-06-2024 14:41:10,0.870s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:41:10,13-06-2024 14:41:30,19.217s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:41:30,13-06-2024 14:41:30,0.332s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Home  Indian Council of Agricultural R_06e979/a_RTI""))",Chrome 125.0.0.0,,,13-06-2024 14:41:30,13-06-2024 14:41:30,0.544s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Right to Information Act  ICAR/td_CircularsOrders related to RTI""))",Chrome 125.0.0.0,,,13-06-2024 14:41:30,13-06-2024 14:41:31,0.960s,PASSED
